,province_confirmedCount,province_cureCount,province_deadCount,province_dailyConfirm
2020/3/1,1,0,0,0
2020/3/2,1,0,0,14
2020/3/3,1,0,0,23
2020/3/4,3.796875,0,0,22
2020/3/5,10.22319031,0,0,31
2020/3/6,21.1100315,0,0,79
2020/3/7,37.3615693,0,0,92
2020/3/8,55.67963278,0,0,121
2020/3/9,74.71405461,0,0,127
2020/3/10,88.71812815,0,0,132
2020/3/11,95.45451316,0,0,300
2020/3/12,94.06379182,0,0,0
2020/3/13,84.26992267,0,0,631
2020/3/14,72.71714707,0,0,449
2020/3/15,60.70587092,0,0,801
2020/3/16,56.62504214,0,0,815
2020/3/17,56.42090731,3,0,961
2020/3/18,67.09010272,3,0,1759
2020/3/19,86.74080234,3,0,3839
2020/3/20,128.0690792,3,0,3991
2020/3/21,199.292412,3,0,5374
2020/3/22,300.788922,3,0,7373
2020/3/23,443.4065778,3,0,8363
2020/3/24,649.4837005,3,0,11090
2020/3/25,913.8001347,3,1,8793
2020/3/26,1244.303155,3,1,13951
2020/3/27,1643.507703,3,1,16646
2020/3/28,2077.359213,3,7.875,19630
2020/3/29,2586.293637,3,19.66238839,19216
2020/3/30,3171.231476,3,31.79220209,18415
2020/3/31,3725.660043,3,40.83663995,21502
2020/4/1,4351.853081,3,40.86801345,25030
2020/4/2,5153.529357,3,38.64912492,27089
2020/4/3,6191.643221,3,34.11166747,28936
2020/4/4,7387.334617,3,32.33254049,32879
2020/4/5,8866.828229,3,33.71398136,33708
2020/4/6,10467.41167,3,33.75607247,25726
2020/4/7,12111.63563,3,39.42488306,30478
2020/4/8,13784.47741,7.258333333,44.01572474,31530
2020/4/9,15667.51387,9.81788969,62.09497997,32600
2020/4/10,17721.07292,11.28442146,77.67199239,34605
2020/4/11,19879.84715,12.0504997,105.7042448,34431
2020/4/12,22132.11657,43929.30249,21501.60494,35111.3791
2020/4/13,24986.08456,54931.39502,24340.93169,35803.38838
2020/4/14,28208.07579,68688.9613,27555.19679,
2020/4/15,31845.54739,85892.10966,31193.91155,
2020/4/16,35952.07613,107403.786,35313.12534,
2020/4/17,40588.14761,134303.0611,39976.28893,
2020/4/18,45822.04711,167939.2588,45255.23191,
2020/4/19,51730.86542,209999.6413,51231.26909,
2020/4/20,58401.63428,262594.0454,57996.45304,
2020/4/21,65932.60829,328360.7164,65654.99207,
